Posteriors , written for numerical stability as log Bayes factors (one model versus the rest), for the test genes in Drosophila.
Each row corresponds to a gene and gives the values for the 32 models. 
Each  binary string ***** specifies the presence/absence  of the 5 TFs used by the model 
where the TFs are assumed to be  in the order: TIN-BIN-TWI-BAP-MEF2.
geneID	00000	10000	01000	00100	00010	00001	11000	10100	10010	10001	01100	01010	01001	00110	00101	00011	11100	11010	11001	10110	10101	10011	01110	01101	01011	00111	11110	11101	11011	10111	01111	11111
FBgn0000008	-27.257738	-28.132613	-26.454094	-28.609431	-27.414292	0.309054	-26.978362	-27.958366	-27.500764	-2.534850	-27.795151	-26.722665	-1.947657	-27.709344	-4.617095	-1.827520	-27.565261	-27.006976	-4.043849	-27.217856	-6.317649	-4.179089	-27.234638	-5.778193	-3.415012	-5.704066	-27.028934	-8.244782	-5.712288	-8.147105	-7.551717	-9.909642	
FBgn0000011	-42.037496	-26.573388	-14.018703	-42.033792	-27.289998	-3.244373	-13.707892	-30.495011	-26.263277	-0.892914	-16.832464	-14.475129	-0.497030	-29.680484	-4.421501	-4.270349	-16.750822	-14.806439	-1.620407	-29.905993	-4.673241	-4.115113	-17.309905	-4.012244	-3.272442	-6.301119	-17.880987	-5.308060	-4.571277	-6.706601	-5.358704	-7.841943	
FBgn0000018	-4.486851	-3.830508	-4.410095	-5.353085	-3.176117	-5.065887	-3.419127	-4.227519	-2.972690	-3.370955	-3.611905	-3.046920	-4.377027	-4.040234	-3.751602	-3.215371	-3.460539	-3.030588	-3.368006	-3.842850	-3.412118	-3.141893	-3.543774	-3.186302	-2.893038	-3.250760	-3.253232	-3.473814	-3.155162	-3.309007	-2.704512	-3.034950	
FBgn0000022	-33.731957	-6.044601	-32.464909	-11.371066	-18.497130	-33.675251	-7.369129	-2.561306	-7.608846	-8.383458	-2.542272	-19.676223	-33.247843	-4.346555	-3.562238	-21.573104	-1.428888	-9.114017	-9.553745	-3.846792	-2.816188	-9.969902	-2.360654	-1.813208	-21.959215	-3.887991	-2.765135	-2.099919	-11.524504	-4.244461	-2.371941	-3.621868	
FBgn0000032	-2.745307	-5.031918	-5.712195	-5.323911	-4.317208	-4.653252	-4.814725	-4.040143	-3.755255	-3.834352	-4.773710	-4.226221	-4.656924	-3.574780	-3.818818	-3.508882	-3.597554	-3.603672	-3.842035	-2.980455	-3.085904	-3.074258	-3.317764	-3.486012	-3.453491	-2.915608	-2.728960	-2.991375	-3.129923	-2.551525	-2.758843	-2.401063	
FBgn0000042	-7.381943	-3.150750	-5.280794	-1.493899	-4.517966	-6.448217	-4.983074	-2.660872	-6.013370	-3.894393	-2.296573	-6.697418	-6.638420	-1.917897	-1.878501	-7.650008	-3.016961	-6.343877	-7.561931	-3.686388	-3.438734	-7.337430	-3.269345	-2.747262	-7.642319	-3.335716	-4.243015	-3.699550	-7.254774	-4.594540	-4.007540	-5.466300	
FBgn0000043	-8.706424	-3.969505	-3.754345	-2.921144	-6.367892	-3.587615	-3.363459	-4.608458	-5.562318	-3.218889	-1.857618	-3.719753	-4.293455	-4.189600	-1.565842	-5.873457	-2.480463	-4.012475	-2.412881	-6.101428	-2.713856	-4.891981	-3.356352	-2.014659	-5.512315	-5.050648	-6.675542	-4.535805	-5.581819	-6.933441	-6.126524	-7.087853	
FBgn0000044	-50.061581	-48.064633	-19.474590	-51.020714	-47.003911	-0.640839	-21.838207	-49.432199	-47.141698	-2.909703	-23.464615	-21.990281	-0.484092	-48.394948	-3.997485	-2.982937	-25.616105	-24.216731	-3.034334	-48.988653	-8.223850	-5.509959	-25.903887	-2.636223	-3.436150	-5.475165	-28.282599	-6.445489	-6.416043	-9.579532	-9.984754	-10.930200	
FBgn0000045	-3.791343	-3.405224	-2.953743	-3.871715	-3.313376	-2.808442	-3.838186	-3.863083	-3.792529	-3.245526	-3.716350	-3.831679	-2.810979	-3.863886	-3.402514	-3.104804	-3.899348	-3.721115	-3.640721	-3.671167	-3.510706	-3.499939	-3.471484	-3.410863	-3.475812	-3.634437	-3.600957	-3.398885	-3.138546	-3.365313	-3.287949	-3.044329	
FBgn0000046	-6.611161	-3.384804	-2.938853	-3.245616	-3.911617	-3.717423	-2.826920	-3.474268	-3.224777	-2.352860	-2.994275	-2.565146	-2.756444	-4.241584	-2.645662	-3.179834	-4.293717	-4.257058	-3.692945	-5.247264	-2.912172	-4.828154	-4.146418	-2.774033	-3.228021	-3.864392	-5.071494	-3.801264	-4.236002	-4.352446	-4.324907	-4.952783	
FBgn0000052	-6.337780	-7.838149	-7.398967	-8.244281	-7.383004	-1.497233	-7.385535	-7.325701	-6.950716	-2.014300	-7.670340	-7.054814	-1.851346	-7.124189	-2.354868	-2.313214	-7.035451	-6.877042	-2.617678	-6.596482	-4.711533	-2.827057	-6.757684	-2.937245	-2.550266	-3.638461	-6.416600	-4.590754	-2.924096	-5.292531	-3.786315	-5.632741	
FBgn0000053	-9.309721	-8.933073	-6.996107	-9.477754	-8.498060	-0.938627	-7.544473	-10.006162	-9.330403	-2.494268	-8.886374	-7.135185	-1.435586	-9.279234	-4.259680	-1.828142	-9.747256	-8.182999	-3.036384	-9.402923	-3.367958	-2.711539	-9.416209	-4.414995	-2.555370	-5.371546	-9.060830	-4.578462	-4.213438	-6.287108	-3.433377	-5.063062	
FBgn0000054	-17.308853	-2.308358	-12.706253	-2.026120	-8.253260	-16.391325	-4.580925	-1.521464	-4.099795	-4.435311	-2.268117	-9.085746	-14.077625	-1.953585	-2.506986	-9.810879	-3.184969	-4.852917	-6.104771	-3.927930	-3.031912	-6.549492	-2.826308	-3.207704	-11.300166	-3.735720	-4.309429	-4.295102	-7.071023	-4.890450	-4.866598	-5.357618	
FBgn0000055	-2.489624	-5.041738	-5.708337	-4.749504	-4.318199	-4.032682	-4.965819	-3.753188	-3.925926	-3.995675	-4.612061	-4.321772	-4.151888	-3.563404	-3.539070	-3.397234	-3.442861	-3.782318	-3.979038	-3.078210	-3.183644	-3.171091	-3.139024	-3.550275	-3.534164	-2.985425	-2.960471	-3.070817	-3.415679	-2.435750	-2.769714	-2.522459	
FBgn0000057	-5.457279	-5.233357	-4.069736	-5.873466	-4.798537	-2.873686	-4.558318	-6.129661	-5.505043	-2.706161	-5.013676	-4.026350	-2.342402	-6.010081	-3.074222	-2.452748	-5.333647	-4.535700	-2.473215	-5.552451	-3.745009	-2.614492	-5.057952	-2.750757	-1.960963	-3.181068	-5.283563	-3.466269	-2.504305	-3.855889	-3.886029	-3.764055	
FBgn0000063	-14.515671	-8.502910	-16.103350	-8.857241	-12.070788	-16.533834	-9.534944	-1.835671	-9.154053	-10.087302	-4.645886	-12.896638	-15.790451	-3.927193	-3.677747	-13.355756	-1.596736	-10.059676	-10.760544	-2.752872	-1.996140	-10.396836	-3.104368	-3.001528	-13.760669	-3.306885	-2.478358	-1.909472	-11.224469	-3.046579	-3.012724	-3.286828	
FBgn0000064	-5.807236	-6.334741	-6.081365	-6.492072	-6.253990	-1.314002	-6.825193	-6.155616	-6.408020	-2.048111	-6.439431	-6.618156	-2.223859	-6.315554	-2.093980	-2.052099	-6.200494	-6.460584	-2.717846	-5.687375	-4.497562	-2.801627	-6.044692	-2.750183	-2.515799	-4.349968	-5.641611	-4.922224	-3.980515	-5.431964	-4.882923	-5.361606	
FBgn0000071	-43.740882	-5.068222	-31.099986	-8.268539	-29.392516	-42.304345	-6.248796	-5.074452	-8.105313	-6.567327	-2.950918	-28.266614	-34.081033	-8.063094	0.974900	-32.387603	-4.193234	-8.976645	-7.289478	-8.231334	-3.164098	-8.873424	-5.686085	-2.326767	-30.466943	-3.204873	-6.702636	-4.412875	-10.010556	-9.015712	-5.263263	-6.815471	
FBgn0000075	-3.521462	-3.311537	-3.224419	-3.412617	-3.183755	-3.375825	-3.511252	-3.758130	-4.035010	-3.906129	-3.263968	-3.299667	-3.845537	-3.595045	-3.638205	-3.604980	-3.521754	-3.563294	-3.932223	-3.304300	-3.493302	-3.332735	-3.673216	-3.475176	-3.487872	-3.239111	-2.976051	-3.298482	-3.426651	-3.223595	-3.070330	-3.265785	
FBgn0000077	-3.375815	-4.133932	-4.368427	-4.511244	-3.898901	-4.552401	-3.898906	-3.769033	-3.529796	-3.600548	-4.060414	-3.655655	-4.042315	-3.678067	-3.496856	-3.531084	-3.563577	-3.573020	-3.334639	-3.297900	-3.214249	-3.093637	-3.301425	-3.367152	-3.370179	-3.202780	-3.055427	-2.963855	-2.887828	-2.857690	-3.036763	-2.696822	
